순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,강성우,롯데,0.500,2,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.500,1.000,0,0.0,0.0
2,레이예스,롯데,0.353,88,382,348,50,123,24,2,9,178,75,0,7,26,0,1,52,9,0.511,0.393,0.904,36,0.41,0.0
3,이정훈,롯데,0.324,38,88,74,10,24,7,0,0,31,17,1,2,11,1,0,18,3,0.419,0.402,0.821,4,0.407,0.357
4,손호영,롯데,0.324,48,189,176,31,57,12,2,8,97,37,1,1,8,1,3,30,3,0.551,0.362,0.913,18,0.382,0.0
5,황성빈,롯데,0.319,73,242,216,60,69,4,4,4,93,17,4,1,19,0,2,32,2,0.431,0.378,0.809,21,0.263,0.0
6,나승엽,롯데,0.305,65,259,220,30,67,21,3,1,97,28,0,3,35,0,1,49,2,0.441,0.398,0.839,17,0.316,0.333
7,고승민,롯데,0.304,64,278,247,45,75,14,2,6,111,45,0,4,26,0,1,46,3,0.449,0.367,0.816,20,0.369,1.0
8,윤동희,롯데,0.294,85,365,316,65,93,20,3,6,137,43,2,3,42,0,2,60,6,0.434,0.377,0.811,25,0.321,0.333
9,전준우,롯데,0.293,53,235,208,28,61,13,1,11,109,44,0,1,23,0,3,34,5,0.524,0.370,0.894,18,0.232,0.0
10,이학주,롯데,0.263,43,105,95,13,25,2,2,2,37,4,2,0,6,0,2,44,0,0.389,0.320,0.709,6,0.15,0.0
11,박승욱,롯데,0.257,86,267,237,32,61,12,1,4,87,30,2,1,21,1,6,71,3,0.367,0.332,0.699,17,0.236,0.0
12,한동희,롯데,0.257,14,36,35,1,9,2,0,0,11,3,0,0,1,1,0,9,1,0.314,0.278,0.592,1,0.182,0.333
13,정훈,롯데,0.251,60,204,183,20,46,11,0,7,78,29,0,2,19,0,0,37,2,0.426,0.319,0.745,12,0.246,0.111
14,최항,롯데,0.241,56,125,116,12,28,2,1,0,32,12,0,0,9,0,0,28,3,0.276,0.296,0.572,6,0.25,0.25
15,정보근,롯데,0.228,43,83,79,5,18,0,1,2,26,4,2,0,2,0,0,17,3,0.329,0.247,0.576,2,0.176,0.0
16,김민석,롯데,0.203,32,80,74,10,15,3,1,0,20,6,1,0,2,0,3,19,4,0.270,0.253,0.523,2,0.3,0.143
17,김동혁,롯데,0.200,31,17,15,6,3,0,1,0,5,1,0,0,2,0,0,5,0,0.333,0.294,0.627,0,0.333,0.0
17,김민성,롯데,0.200,35,84,70,6,14,5,0,2,25,8,0,1,10,0,3,18,1,0.357,0.321,0.678,1,0.2,0.429
19,유강남,롯데,0.191,52,155,136,11,26,3,0,5,44,20,2,1,9,0,7,25,4,0.324,0.275,0.599,5,0.234,0.0
20,손성빈,롯데,0.189,43,82,74,15,14,3,1,3,28,8,0,0,7,0,1,21,2,0.378,0.268,0.646,3,0.143,0.0
21,노진혁,롯데,0.188,37,93,80,6,15,3,0,0,18,9,1,2,9,0,1,22,1,0.225,0.272,0.497,1,0.208,0.25
21,오선진,롯데,0.188,18,23,16,0,3,1,0,0,4,0,3,0,2,0,2,7,0,0.250,0.350,0.600,0,0.2,0.0
23,이주찬,롯데,0.174,14,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0.348,0.208,0.556,0,0.25,0.5
24,장두성,롯데,0.154,25,17,13,8,2,0,0,0,2,0,0,0,2,0,2,5,0,0.154,0.353,0.507,0,0.0,0.0
25,서동욱,롯데,0.143,12,15,14,1,2,1,0,0,3,0,0,0,0,0,1,4,0,0.214,0.200,0.414,0,0.0,1.0
25,신윤후,롯데,0.143,16,24,21,3,3,0,0,0,3,1,1,0,1,0,1,3,1,0.143,0.217,0.360,0,0.2,0.0
27,김원중,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,백두산,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
27,이선우,롯데,-,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이호준,롯데,-,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-,1.000,1.000,0,0.0,0.0
27,정대선,롯데,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
27,추재현,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
