순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,송성문,키움,0.358,28,76,90,0.84,4,1.17,3.82,0.182,69.5,0.327
2,도슨,키움,0.348,43,87,92,0.95,9,0.65,3.66,0.187,66.3,0.318
3,김혜성,키움,0.340,33,84,100,0.84,7,1.11,3.86,0.178,63.4,0.31
4,고영우,키움,0.299,8,33,46,0.72,2,0.50,3.90,0.048,22.8,0.253
5,이용규,키움,0.293,5,42,35,1.20,1,0.86,4.00,0.054,23.3,0.27
6,이주형,키움,0.281,18,49,65,0.75,3,0.48,3.86,0.140,38.9,0.272
7,김건희,키움,0.280,5,19,13,1.46,0,0.22,3.98,0.097,10.8,0.244
8,원성준,키움,0.273,5,8,6,1.33,1,0.16,4.53,0.159,6.4,0.249
9,임병욱,키움,0.267,2,9,9,1.00,0,0.20,3.58,0.089,4.9,0.23
10,변상권,키움,0.257,4,27,26,1.04,1,0.31,4.06,0.095,11.3,0.226
11,김재현,키움,0.251,10,60,49,1.22,0,0.20,3.52,0.050,18.7,0.211
12,최주환,키움,0.234,19,66,112,0.59,3,0.39,4.01,0.105,28.9,0.213
13,주성원,키움,0.233,2,12,7,1.71,0,0.29,4.21,0.093,3.7,0.216
14,이원석,키움,0.220,4,19,36,0.53,2,0.78,3.86,0.044,9.8,0.215
15,이재상,키움,0.219,2,15,14,1.07,0,0.04,3.58,0.055,4.9,0.181
16,이형종,키움,0.216,7,21,27,0.78,2,0.81,3.88,0.170,13.4,0.254
17,장재영,키움,0.213,3,8,3,2.67,0,0.31,4.04,0.106,5.5,0.238
18,박수종,키움,0.203,1,20,25,0.80,0,0.83,3.60,0.016,4.4,0.182
19,김동헌,키움,0.200,0,2,2,1.00,0,-,2.86,0.000,0.8,0.243
19,김주형,키움,0.200,0,3,0,-,0,0.20,3.73,0.000,1.3,0.243
21,김태진,키움,0.196,3,27,35,0.77,0,0.33,3.18,0.033,4.3,0.16
22,김시앙,키움,0.143,0,3,2,1.50,0,0.00,2.43,0.000,0.0,0.1
23,박성빈,키움,0.125,0,3,2,1.50,0,0.50,2.78,0.000,0.2,0.131
24,임지열,키움,0.102,1,13,16,0.81,0,0.44,4.25,0.061,1.4,0.136
25,김웅빈,키움,0.077,0,1,5,0.20,0,0.50,4.22,0.000,0.8,0.152
26,김병휘,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김선기,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김연주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김윤하,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,박주홍,키움,0.000,0,3,3,1.00,0,0.33,4.20,0.000,-0.5,0.045
26,박준형,키움,0.000,0,1,1,1.00,0,0.00,3.20,0.000,-0.5,0.0
26,송지후,키움,0.000,0,1,0,-,0,-,1.00,0.000,-0.1,0.0
26,신준우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,양지율,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,이승원,키움,0.000,0,2,0,-,0,0.00,3.00,0.000,-0.3,0.0
26,주승우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
